0.100000 0.010000 0.999999 1.000000
0.100000 0.020000 1.000000 0.999999
0.100000 0.030000 0.999998 0.999999
0.100000 0.040000 0.999994 0.999999
0.100000 0.050000 0.999974 0.999987
0.100000 0.060000 0.999982 0.999999
0.100000 0.070000 0.999967 0.999999
0.100000 0.080000 0.999945 0.999998
0.100000 0.090000 0.999925 0.999998
0.100000 0.100000 0.999915 0.999998
0.100000 0.110000 0.999909 0.999998
0.100000 0.120000 0.999906 0.999999
0.100000 0.130000 -nan -nan
0.100000 0.140000 -nan -nan
0.100000 0.150000 -nan -nan
0.100000 0.160000 -nan -nan
0.100000 0.170000 -nan -nan
0.100000 0.180000 -nan -nan
0.100000 0.190000 -nan -nan
0.100000 0.200000 -nan -nan
0.100000 0.210000 -nan -nan
0.100000 0.220000 -nan -nan
0.100000 0.230000 -nan -nan
0.100000 0.240000 -nan -nan
0.100000 0.250000 -nan -nan
0.100000 0.260000 -nan -nan
0.100000 0.270000 -nan -nan
0.100000 0.280000 -nan -nan
0.100000 0.290000 -nan -nan
0.100000 0.300000 -nan -nan
0.100000 0.310000 -nan -nan
0.100000 0.320000 -nan -nan
0.100000 0.330000 -nan -nan
0.100000 0.340000 -nan -nan
0.100000 0.350000 -nan -nan
0.100000 0.360000 -nan -nan
0.100000 0.370000 -nan -nan
0.100000 0.380000 -nan -nan
0.100000 0.390000 -nan -nan
0.100000 0.400000 -nan -nan
0.100000 0.410000 -nan -nan
0.100000 0.420000 -nan -nan
0.100000 0.430000 -nan -nan
0.100000 0.440000 -nan -nan
0.100000 0.450000 -nan -nan
0.100000 0.460000 -nan -nan
0.100000 0.470000 -nan -nan
0.100000 0.480000 -nan -nan
0.100000 0.490000 -nan -nan
0.100000 0.500000 -nan -nan
